id,contest,section,registry_num,school,production,github,bitbucket,other_repo,slideshare,other_slide,twitter,facebook,site,result,prize
38,25,2,17,"阿南高専","ポケットレジスタ",,,,,,,,,,"敢闘賞"
39,25,2,18,"東京高専","SNS炎上報知器 —個人情報流出・炎上防止見守りシステム—",,,,,,,,,,"特別賞,トヨタコミュニケーションシステム企業賞"
40,25,2,19,"沖縄高専","Remoconia —ひとつの家庭にひとつのリモコン—",,,,,,,,,,"敢闘賞"
41,25,2,20,"舞鶴高専","ネッチュー —熱中症対策システム—",,,,,,,,,,"敢闘賞"
42,25,0,1,"熊本高専熊本キャンパス","NISHI —Automatic Puzzle Solver—",https://github.com/knct-densan/procon25,"","","","","","","",,""
43,25,0,2,"群馬高専","アカシックレコード —失われた鎮魂曲—",,,,,,,,,,""
44,25,0,3,"八戸高専","画像が、もとに戻るまで、僕は、交換を止めない！",,,,,,,,,,""
45,25,0,4,"鳥羽商船高専","ダイオウグソクムシNo.1 —あの日の思い出をもう一度—",,,,,,,,,,""
46,25,0,5,"小山高専","Short Time Artful Program —正当性—",,,,,,,,,,""
47,25,0,6,"茨城高専","賽巡TRIDE改 —ハスケルパズルサウンド—",https://github.com/inct-www-club/Procon2014,"","","","",https://twitter.com/NKMR6194,"","",,""
48,25,0,7,"石川高専","ダイス&ドラゴンズ",,,,,,,,,,""
49,25,0,8,"秋田高専","SOT理論",,,,,,,,,,""
50,25,0,9,"呉高専","Reform the picture",https://github.com/rozeo/procon25,"","","","","","","",,""
51,25,0,10,"釧路高専","画像スクレイプ！ 産廃と化したサイコロ —産廃なにしてんすか！—",,,,,,,,,,""
52,25,0,11,"広島商船高専","パズル&ムーチョ",,,,,,,,,,""
53,25,0,12,"大島商船高専","ご注文は原画像ですか？",,,,,,,,,,""
54,25,0,13,"旭川高専","解これ —いいこと？　白紙のテキストに解答を刻みなさいっ！—",,,,,,,,,,""
55,25,0,14,"徳山高専","まだふみもみず、あまのはじだて —ちくわは無限に存在する—",,,,,,,,,,""
56,25,0,15,"都城高専","画像！ 並べずにはいられないッ！",,,,,,,,,,""
57,25,0,16,"弓削商船高専","一気呵成",,,,,,,,,,""
58,25,0,17,"長岡高専","8GBフロッピー",,,,,,,,,,""
59,25,0,18,"福島高専","競技ロボ　モウヤメダー —そうだ、手でやろう—",,,,,,,,,,""
60,25,0,19,"鹿児島高専","サイコロの霊圧が…消えた…？ —かりこまり！バァン！（復元）—",,,,,,,,,,""
61,25,0,20,"津山高専","ご注文はパズルですか？",,,,,,,,,,""
62,25,0,21,"高知高専","一筆くん",,,,,,,,,,""
63,25,0,22,"米子高専","コロンコロンコロン♪ —シュインシュインシュイン♪—",,,,,,,,,,""
64,25,0,23,"仙台高専広瀬キャンパス","さいころの画像を並び替えて通信する野鳥の会",,,,,,,,,,""
